_id,Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%)
1,1,Ahmedabad,24716.2,7798.13,0,13286.9,45801.23,3548.96,42252.27,25238.5,4831.6,1038.95,31109.04,1101.83,13353.84,73.63
2,2,Amreli,132123.42,7121.78,0,10900.56,150145.76,7507.31,142638.45,77626.4,120.79,1207.64,78954.83,1230.14,63661.11,55.35
3,3,Anand,32160.87,37639.44,0,48588.67,118388.98,9516.1,108872.88,26110,330.42,3587.39,30027.83,3689.85,78742.59,27.58
4,4,Arvalli,81761.61,3492.59,0,7360.04,92614.24,4630.72,87983.52,35456.4,23.57,2060.98,37540.96,2144.33,50359.22,42.67
5,5,Banaskantha,99386.1,15164.17,0,16738.96,131289.23,13128.95,118160.28,137201.3,102.46,4264.02,141567.8,4557.44,11934.72,119.81
6,6,Bharuch,41682.99,8452.01,0,19261.9,69396.9,5548.4,63848.5,14288.9,880.96,1836.73,17006.6,1891.72,46786.92,26.64
7,7,Bhavnagar,92561.12,7720.82,0,13545.1,113827.04,5691.37,108135.67,42949.2,37.64,3194.06,46180.9,3322.21,61826.62,42.71
8,8,Botad,37198.25,2430.61,0,4106.37,43735.23,2186.78,41548.45,22817.9,16.9,907.44,23742.25,943.85,17769.8,57.14
9,9,Chhota Udepur,42927.38,6798.3,0,13270.9,62996.58,6299.68,56696.9,22300.8,1,2237.97,24539.77,2312.02,32083.08,43.28
10,10,Dahod,19357.58,7094.7,0,10779.64,37231.92,3385.97,33845.95,10539.2,3.01,2310.58,12852.78,2524.79,20778.97,37.97
11,11,Dang,35324.46,1052.72,0,1371.28,37748.46,3774.84,33973.62,4053.7,1.28,494.57,4549.55,522.81,29395.83,13.39
12,12,Devbhumi Dwarka,36703.39,2710.84,0,4583.51,43997.74,2199.89,41797.85,26738.6,215.3,1582.07,28535.96,1630.77,13213.2,68.27
13,13,Gandhinagar,45828.31,7036.09,0,12091.49,64955.89,5496.04,59459.84,58919.5,765.78,1365,61050.26,1807.11,6419.36,102.67
14,14,Gir Somnath,67566.29,2897.06,0,6487.72,76951.07,6124.09,70826.98,30463.1,264.75,3001.05,33728.9,3081.92,37017.21,47.62
