SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Quarterly Manual (meter)
1,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-05-1985 00:00,11.65
2,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-10-1985 00:00,7.85
3,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-05-1986 00:00,9
4,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-10-1986 00:00,8.6
5,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-05-1987 00:00,11.25
6,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-10-1987 00:00,10.65
7,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-05-1988 00:00,14.45
8,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-10-1988 00:00,12.5
9,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-05-1989 00:00,12.25
10,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-10-1989 00:00,11.8
11,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-05-1990 00:00,12.95
12,AD-003,Gujarat SW GW,24,Gujarat,446,Gandhinagar,DEHGAM,-,-,-,-,-,-,-,-,23.17861111,72.84111111,,01-10-1990 00:00,8.75
13,AD-14,Gujarat SW GW,24,Gujarat,438,Ahmedabad,BAVLA,-,-,-,-,-,-,-,-,22.82083333,72.31833333,,01-05-1989 00:00,5.15
14,AD-14,Gujarat SW GW,24,Gujarat,438,Ahmedabad,BAVLA,-,-,-,-,-,-,-,-,22.82083333,72.31833333,,01-10-1989 00:00,0.9
15,AD-14,Gujarat SW GW,24,Gujarat,438,Ahmedabad,BAVLA,-,-,-,-,-,-,-,-,22.82083333,72.31833333,,01-05-1990 00:00,3.6
16,AD-14,Gujarat SW GW,24,Gujarat,438,Ahmedabad,BAVLA,-,-,-,-,-,-,-,-,22.82083333,72.31833333,,01-10-1990 00:00,1.6
17,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1975 00:00,18.35
18,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1975 00:00,14.8
19,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1976 00:00,21
20,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1976 00:00,12.6
21,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1977 00:00,20.2
22,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1977 00:00,11.9
23,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1978 00:00,20.1
24,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1978 00:00,12.7
25,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1979 00:00,19.1
26,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1979 00:00,11.95
27,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1980 00:00,13.8
28,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1980 00:00,8.3
29,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1981 00:00,12.8
30,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1981 00:00,8
31,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1982 00:00,12.5
32,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1982 00:00,7.3
33,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1983 00:00,8.9
34,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1983 00:00,5.1
35,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1984 00:00,9.2
36,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1984 00:00,6
37,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1985 00:00,16.4
38,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1985 00:00,10
39,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1986 00:00,19.95
40,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1986 00:00,13
41,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1987 00:00,26.5
42,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1987 00:00,16.9
43,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1988 00:00,26.5
44,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1988 00:00,12.4
45,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1989 00:00,24.1
46,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1989 00:00,13
47,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-05-1990 00:00,20
48,AMR-001,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.80666667,70.69111111,,01-10-1990 00:00,12.9
49,AMR-002,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.85472222,70.66277778,,01-05-1985 00:00,14.8
50,AMR-002,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.85472222,70.66277778,,01-10-1985 00:00,13
51,AMR-002,Gujarat SW GW,24,Gujarat,448,Junagadh,KODINAR,-,-,-,-,-,-,-,-,20.85472222,70.66277778,,01-05-1986 00:00,15.9
