SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,Aithor,Gujarat SW GW,24,Gujarat,451,Mahesana,UNJHA,-,-,Bhadar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Bhadar,23.76833333,72.40972222,25-07-2017 08:00,42.89
2,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,15-07-2017 08:00,108
3,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,15-07-2017 11:00,900
4,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,15-07-2017 14:00,245
5,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,15-07-2017 17:00,90
6,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,16-07-2017 08:00,25
7,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,16-07-2017 11:00,15
8,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,16-07-2017 14:00,3
9,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,16-07-2017 17:00,3
10,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,22-07-2017 08:00,6
11,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,22-07-2017 11:00,6
12,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,22-07-2017 14:00,90
13,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,22-07-2017 17:00,38
14,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,23-07-2017 08:00,3
15,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,23-07-2017 11:00,3
16,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,23-07-2017 14:00,0
17,Ambaliyara,Gujarat SW GW,24,Gujarat,672,Aravalli,Bayad,-,-,Sabarmati,Sabarmati,Mazam,-,-,Mazam,23.20944444,73.03361111,01-07-2017 08:00,0
18,Ambaliyara,Gujarat SW GW,24,Gujarat,672,Aravalli,Bayad,-,-,Sabarmati,Sabarmati,Mazam,-,-,Mazam,23.20944444,73.03361111,01-08-2017 08:00,15.42
19,Ambaliyara,Gujarat SW GW,24,Gujarat,672,Aravalli,Bayad,-,-,Sabarmati,Sabarmati,Mazam,-,-,Mazam,23.20944444,73.03361111,01-10-2017 08:00,5.29
20,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,09-07-2016 08:00,2
21,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,09-07-2016 11:00,3.5
22,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,09-07-2016 14:00,2
23,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,09-07-2016 17:00,0
24,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,10-07-2016 08:00,15
25,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,10-07-2016 11:00,15
26,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,10-07-2016 14:00,15
27,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,10-07-2016 17:00,45
28,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,11-07-2016 08:00,97
29,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,11-07-2016 11:00,97
30,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,11-07-2016 14:00,97
31,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,11-07-2016 17:00,77
32,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,12-07-2016 08:00,119
33,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,12-07-2016 11:00,288
34,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,12-07-2016 14:00,278
35,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,12-07-2016 17:00,167
36,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,13-07-2016 08:00,51
37,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,13-07-2016 11:00,45
38,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,13-07-2016 14:00,45
39,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,13-07-2016 17:00,45
40,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,14-07-2016 08:00,27
41,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,14-07-2016 11:00,27
42,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,14-07-2016 14:00,21
43,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,14-07-2016 17:00,21
44,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,15-07-2016 08:00,15
45,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,15-07-2016 11:00,15
46,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,15-07-2016 14:00,10
47,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,15-07-2016 17:00,10
48,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,16-07-2016 08:00,10
49,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,16-07-2016 11:00,10
50,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,16-07-2016 14:00,10
51,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,16-07-2016 17:00,10
52,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,17-07-2016 08:00,5
53,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,17-07-2016 11:00,5
54,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,17-07-2016 14:00,5
