iter	RMSE
0	3.06699997
1	3.010689794
2	2.95885442
3	2.91485283
4	2.870239467
5	2.833227103
6	2.792505693
7	2.756233076
8	2.725207029
9	2.699197871
10	2.670794387
11	2.644720761
12	2.624001643
13	2.600979544
14	2.581070788
15	2.562384847
16	2.544588083
17	2.527943253
18	2.513512443
19	2.499551001
20	2.490151124
21	2.478519269
22	2.468172246
23	2.45934044
24	2.450238438
25	2.442185748
26	2.436926488
27	2.430804204
28	2.423850891
29	2.417920534
30	2.414361252
31	2.409214805
32	2.405373848
33	2.400641376
34	2.398237904
35	2.39543772
36	2.392869709
37	2.391086213
38	2.389473979
39	2.38716229
40	2.38473627
41	2.381811831
42	2.379642236
43	2.378662326
44	2.376920888
45	2.37521735
46	2.373492422
47	2.372356132
48	2.371635249
49	2.371038408
50	2.370499133
51	2.368698897
52	2.367600504
53	2.367202009
54	2.366496974
55	2.365269228
56	2.364196482
57	2.363930296
58	2.363273971
59	2.363056509
60	2.362860052
61	2.361786956
62	2.361625943
63	2.361018479
64	2.36001016
65	2.359890736
66	2.358989613
67	2.358596001
68	2.358239967
69	2.357140599
70	2.356758975
71	2.356016545
72	2.35542007
73	2.355086909
74	2.354385653
75	2.353242653
76	2.353008131
77	2.352963333
78	2.352660333
79	2.352512237
80	2.352475345
81	2.35151878
82	2.350890131
83	2.350734085
84	2.350627032
85	2.350207706
86	2.349725717
87	2.34970711
88	2.349244605
89	2.349229299
90	2.348939015
91	2.34884336
92	2.348610242
93	2.348598884
94	2.348379534
95	2.348298531
96	2.347889274
97	2.347615719
98	2.347608129
99	2.347431616
100	2.347270407
101	2.347169264
102	2.347143416
103	2.346945064
104	2.346940345
105	2.346936082
106	2.345909177
107	2.345772033
108	2.345768681
109	2.345071904
110	2.345018348
111	2.344940119
112	2.344810259
113	2.344674233
114	2.34453207
115	2.344358629
116	2.34352694
117	2.342875244
118	2.342588693
119	2.342507804
120	2.341931499
121	2.34180043
122	2.341737121
123	2.341718048
124	2.341448017
125	2.341234568
126	2.340757337
127	2.340660307
128	2.340224567
129	2.34014213
130	2.340076637
131	2.339874115
132	2.339740356
133	2.339678943
134	2.339438548
135	2.33940613
136	2.338816945
137	2.338636652
138	2.338104577
139	2.338031145
140	2.337948842
141	2.337818777
142	2.337699633
143	2.337572355
144	2.337466894
145	2.33732553
146	2.337272097
147	2.337158453
148	2.337010263
149	2.336656675
150	2.336570718
151	2.336505191
152	2.336333815
153	2.335958655
154	2.335817968
155	2.335730406
156	2.335566952
157	2.335494955
158	2.335392141
159	2.335294118
160	2.335190787
161	2.334762556
162	2.334655945
163	2.33453436
164	2.334516939
165	2.334433318
166	2.334286746
167	2.334143356
168	2.334044109
169	2.334029878
170	2.333980601
171	2.333860072
172	2.333727608
173	2.333630367
174	2.333590863
175	2.333507721
176	2.33342556
177	2.333336703
178	2.33323177
179	2.333166594
180	2.332836851
181	2.332749153
182	2.332450115
183	2.332419182
184	2.332211421
185	2.332021769
186	2.331927631
187	2.331870954
188	2.331811839
189	2.33172348
190	2.331629197
191	2.331430423
192	2.331177874
193	2.331144262
194	2.330978353
195	2.330950741
196	2.330904451
197	2.330839399
198	2.330770448
199	2.330706606
