iter	Passed	Remaining
0	0	119
1	0	96
2	1	86
3	1	77
4	1	72
5	2	66
6	2	64
7	2	62
8	2	60
9	3	57
10	3	56
11	3	55
12	3	54
13	4	54
14	4	53
15	4	53
16	4	53
17	5	53
18	5	54
19	6	54
20	6	53
21	6	53
22	6	52
23	7	52
24	7	52
25	7	51
26	7	50
27	8	50
28	8	49
29	8	49
30	8	48
31	9	48
32	9	48
33	9	48
34	10	47
35	10	47
36	10	46
37	10	46
38	11	45
39	11	45
40	11	45
41	11	44
42	12	44
43	12	44
44	12	44
45	13	43
46	13	43
47	13	43
48	13	42
49	14	42
50	14	41
51	14	41
52	14	41
53	15	41
54	15	40
55	15	40
56	16	40
57	16	40
58	16	39
59	16	39
60	17	38
61	17	38
62	17	38
63	17	37
64	18	37
65	18	37
66	18	37
67	18	36
68	19	37
69	19	36
70	20	36
71	20	36
72	20	36
73	21	35
74	21	35
75	21	35
76	21	35
77	22	34
78	22	34
79	22	33
80	22	33
81	23	33
82	23	33
83	23	32
84	23	32
85	24	32
86	24	31
87	24	31
88	25	31
89	25	30
90	25	30
91	25	30
92	26	30
93	26	29
94	26	29
95	26	29
96	27	28
97	27	28
98	27	28
99	27	27
100	28	27
101	28	27
102	28	27
103	29	26
104	29	26
105	29	26
106	29	25
107	29	25
108	30	25
109	30	24
110	30	24
111	31	24
112	31	24
113	31	23
114	31	23
115	32	23
116	32	23
117	32	22
118	33	22
119	33	22
120	33	21
121	33	21
122	34	21
123	34	21
124	34	20
125	35	20
126	35	20
127	35	20
128	36	19
129	36	19
130	36	19
131	36	19
132	37	18
133	37	18
134	37	18
135	38	17
136	38	17
137	38	17
138	38	17
139	39	16
140	39	16
141	39	16
142	39	15
143	40	15
144	40	15
145	40	15
146	41	14
147	41	14
148	41	14
149	42	14
150	42	13
151	43	13
152	43	13
153	43	13
154	43	12
155	44	12
156	44	12
157	44	11
158	45	11
159	45	11
160	46	11
161	46	10
162	46	10
163	47	10
164	47	10
165	48	9
166	48	9
167	49	9
168	49	9
169	49	8
170	50	8
171	50	8
172	50	7
173	51	7
174	51	7
175	51	7
176	52	6
177	52	6
178	52	6
179	53	5
180	53	5
181	53	5
182	54	5
183	54	4
184	54	4
185	55	4
186	55	3
187	55	3
188	56	3
189	56	2
190	56	2
191	57	2
192	57	2
193	57	1
194	57	1
195	58	1
196	58	0
197	58	0
198	59	0
199	59	0
